iri	label	definition	definitionXrefs	superClasses	part_of
http://purl.obolibrary.org/obo/CEPH_0000229	shell sac	The sac that secretes the shell in the Coleoidea. The sac is composed of ectodermal epithelium that invaginates during embryonic development to form an internal sac.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	anatomical structure	
http://purl.obolibrary.org/obo/CEPH_0000230	side pocket	Pockets formed by small membranous folds of integument lateral to the foveola in the funnel groove in ommastrephid and thysanoteuthid squids.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	|surface structure	funnel groove
http://purl.obolibrary.org/obo/CEPH_0000232	siphuncle	The tube-like extension of the body wall, coelom and an external covering tube that penetrates the phragmocone and regulates gas exchange into the phragmocone chambers.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	|tube	phragmacone
http://purl.obolibrary.org/obo/CEPH_0000234	sperm mass	The coiled rope of sperm that lies within the spermatophore or spermatangia.	http://tolweb.org/accessory/Cephalopod_Spermatophore_Terminology?acc_id=1972	anatomical cluster|	spermatophore
http://purl.obolibrary.org/obo/CEPH_0000235	spermatangia	Discharged spermatophore which consists of the sperm mass surrounded by a membrane (the inner tunic) with the cement gland at one end.	http://tolweb.org/accessory/Cephalopod_Spermatophore_Terminology?acc_id=1972	spermatophore	multi-cellular organism
http://purl.obolibrary.org/obo/CEPH_0000236	cephalopod spermathecum	Specialized sperm-storage structures found in the skin of some female decapodiforms or as pockets of the oviducal gland in octopods.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	|spermathecum|female anatomical structure	female reproductive system|gonad
http://purl.obolibrary.org/obo/CEPH_0000237	spermatophore	A packet of sperm that is formed by the male and passed to the female during mating. In most coleoids, this packet is very complex and contains a &quot;rope&quot; of sperm (= sperm mass), an ejaculatory apparatus and a cement body. Except for the sperm, the entire structure is non-cellular and consists of a complex architecture of secreted material.	http://tolweb.org/accessory/Cephalopod_Spermatophore_Terminology?acc_id=1972	anatomical cluster	multi-cellular organism
http://purl.obolibrary.org/obo/CEPH_0000240	stalk of tentacle	Region of the tentacle proximal to the club.	http://tolweb.org/accessory/Cephalopod_Tentacle_Terminology?acc_id=1962	|circumoral appendage segment	tentacle
http://purl.obolibrary.org/obo/CEPH_0000241	stalked eye			eye	visual system
http://purl.obolibrary.org/obo/CEPH_0000242	cephalopod statocyst	A sense-organ that detects gravity, angular accelerations and low-frequency sound. The statocyst is embedded within the cephalic cartlage and contains the statolith.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	statocyst|	outer statocyst capsule|sensory system
http://purl.obolibrary.org/obo/CEPH_0000243	stellate ganglion	Major ganglion of the peripherial nervous system of neocoleoid cephalopods that controls nerves to the mantle muscles.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	ganglion	nervous system
http://purl.obolibrary.org/obo/CEPH_0000244	cephalopod stomach	A muscular organ of the digestive system where primary digestion occurs. The stomach is generally lined with cuticular ridges to aid in grinding food, and is supplied with digestive enzymes from the digestive gland. The stomach may be greatly expandable in size and serve as a storage area until food can be fully processed.	http://tolweb.org/accessory/Cephalopod_Digestive_System?acc_id=1993	stomach	gastrointestinal system|foregut
http://purl.obolibrary.org/obo/CEPH_0000245	stylet	Remnant of the molluscan shell in incirrate octopods. It is generally a slender, pointed rod tightly surrounded by the shell sac and buried in the mantle muscle on either side of the mantle.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	organism subdivision	multi-cellular organism
http://purl.obolibrary.org/obo/CEPH_0000246	subadult stage	Stage at which all of the characters that typically define the species are present. The subadult stage follows the Juvenile Stage and precedes the Adult Stage. A subadult stage is defined in cephalopods since the adult phase is frequently abbreviated.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	life cycle stage	
http://purl.obolibrary.org/obo/CEPH_0000248	sucker	Muscular suction-cup on the arms and tentacles and occasionally on the buccal supports. The sucker consists of a cup-shaped portion, the acetabulum, and a flat, distal ring, the infundibulum, that contacts the substrate. Suckers of decapodiforms contain horny rings that often bear teeth or sometimes form hooks.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	|surface structure	collection of suckers|external covering of organism
http://purl.obolibrary.org/obo/CEPH_0000249	sucker series	The longitudinal rows of suckers on the arms or tentacles of decapodiforms. Series (= longitudinal rows) contrasts with rows (= transverse rows) in describing sucker arrangement. In octopodiforms, sucker &quot;series&quot; is generally synonymous with &quot;rows&quot;, the &quot;longitudinal&quot; component of the term is implied. Suckers can form distinct, regular series or indistinct, irregular series. 	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	collection of suckers|	circumoral appendage
http://purl.obolibrary.org/obo/CEPH_0000250	sucker stalk	The structure between the sucker and the arm. In octopods it is a cyclindrical structure about the same width as the sucker and in decapodiforms it is constricted into a conical pillar.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	anatomical structure	
http://purl.obolibrary.org/obo/CEPH_0000251	sucker teeth	Teeth on the inner horny sucker rings of some decapodiforms.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	|anatomical structure	sucker
http://purl.obolibrary.org/obo/CEPH_0000252	superior buccal lobes	Lobes of the central nervous system that sit atop the esophagus where the latter enters the buccal mass in decapodiforms but are the anterior-most lobes of the supraesophageal mass of the brain of octopodiforms.	http://tolweb.org/accessory/Cephalopod_Brain_Terminology?acc_id=1944	buccal lobe	supraesophageal mass of brain
http://purl.obolibrary.org/obo/CEPH_0000253	superocular cirri	Muscular structures that can be raised or lowered above the eyes of octopodids but are apparent even when lowered.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	muscle structure	
http://purl.obolibrary.org/obo/CEPH_0000254	suprabrachial commissure	Nerve commissure that passes dorsal to the esophagus in most octopodiforms and connects the right and left anterior subesophageal masses of the brain.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	anatomical structure	
http://purl.obolibrary.org/obo/CEPH_0000255	cephalopod swimbladder	Gas-filled structure found in the dorsal region of the pelagic octopods, <em><strong>Ocythoe</strong>,</em> <em><strong>Tremoctopus</strong></em> and <em><strong>Haliphron</strong></em>.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	anatomical structure	
http://purl.obolibrary.org/obo/CEPH_0000256	tentacle	Elongate 4th circumoral appendage of cuttlefish and squids used to capture prey. Divided into proximal stalk and distal club.		circumoral appendage	multi-cellular organism
http://purl.obolibrary.org/obo/CEPH_0000257	tentacle absence	Tentacles can be absent because the species lacks tentacles, they are accidentally lost during capture, or they are naturally lost at sexual maturity. 	http://tolweb.org/accessory/Tentacle_Absence_in_Cephalopods?acc_id=2046	|anatomical structure	tentacle
http://purl.obolibrary.org/obo/CEPH_0000258	tentacle pad	Poorly understood and complex pad-like photophores that are found on the tentacular stalks of some chiroteuthidids.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	|anatomical structure	tentacle
http://purl.obolibrary.org/obo/CEPH_0000259	tentacle pocket	A pocket that surrounds the base of each tentacle and provides some room for tentacle retraction or contraction.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	|anatomical structure	tentacle
http://purl.obolibrary.org/obo/CEPH_0000261	tentacle thickness	.	http://tolweb.org/accessory/Cephalopod_Tentacle_Thickness?acc_id=2016	appendage trait	
http://purl.obolibrary.org/obo/CEPH_0000263	terminal fin	Fins that extend to the posterior end of the body.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	fin	external covering of organism
http://purl.obolibrary.org/obo/CEPH_0000264	terminal pad	A circlet or disc of small suckers at the tip of the tentacular club. The pad of one club can adhere to the pad of the other club which holds the clubs together at their tips.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	tentacle pad	tentacle
http://purl.obolibrary.org/obo/CEPH_0000267	trabecula	Muscular cones or flaps that support the protective membranes on the arms and tentacular clubs in decapodiforms. These are thought to be homologous with the cirri of the octopodiformes.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	|muscle structure	circumoral appendage
http://purl.obolibrary.org/obo/CEPH_0000268	tragus	Particular inward projecting knob in the funnel locking-apparatus of some squids. It is the knob found on the medial surface of the central depression.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	|cartilage tissue	funnel-mantle locking-apparatus
http://purl.obolibrary.org/obo/CEPH_0000269	truncate tooth	Teeth on the inner horny of rings of decapodiform suckers that do not terminate in a point but rather a broad, flat tip.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	tooth of sucker ring|	inner sucker ring
http://purl.obolibrary.org/obo/CEPH_0000270	cephalopod tubercule	Structures with one or more cusps just beneath the surface epithelium. Tubercules may be cartilagenous, fibrous or of other structure and may be confined to the integument or extend deeper.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	tubercle	organ
http://purl.obolibrary.org/obo/CEPH_0000271	gladius vane	Broad, lateral portions of the gladius that arise from the rhachis.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	|anatomical structure	gladius
http://purl.obolibrary.org/obo/CEPH_0000273	ventral eyelid	An eyelid that can cover much of the cornea from a ventral position in many sepioids.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	eyelid	
http://purl.obolibrary.org/obo/CEPH_0000274	ventral shield	The optically modified ventral mantle of heteroteuthins that usually projects anteriorly beneath the head.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	shield	multi-cellular organism
http://purl.obolibrary.org/obo/CEPH_0000275	vesicular tissue	Tissues found in some decapodiforms that contain numberous vesicles filled with water that usually contains ammonium chloride. The vesicles may be concentrated in certain structures (e.g., the ventral arms) or scattered throughout the animal. The light solution in the vesicles provide buoyant lift.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	tissue	multi-cellular organism
http://purl.obolibrary.org/obo/CEPH_0000276	visceral nucleus	A concentration of digestive organs that sometimes includes reproductive organs as well. In cranchiid squids the visceral nucleus is especially distinct: the small, spindle-shaped digestive gland contains the ink sac and is adjacent to the stomach and caecum and associated structures (eg, digestive gland duct appendages, renal appendages). In most cephalopods the concentration of these structures is not so extensive but whenever a concentration exists, a visceral nucleus is present.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	|anatomical structure	digestive system
http://purl.obolibrary.org/obo/CEPH_0000277	visceral sac	The body posterior to the head surrounded by the mantle. The body wall in this region that incases the viscera is usually rather thin-walled, hence the name &quot;visceral sac.&quot; The visceral sac is also called the &quot;visceral dome.&quot;	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	anatomical structure	
http://purl.obolibrary.org/obo/CEPH_0000278	visceropericardial coelom	The largest coelom in cephalopods except in the Octopoda where it is greatly reduced. Geneally it encloses the gonad, and partially the stomach, caecum and ventricle among other structures. Eggs and sperm are released into the coelom and picked up by the gonoducts. The visceropercardial coelom also communicates with the other cephalopod coelom, the nephridial coelom, and the mantle cavity via a pair of ducts that open at the base of the nephridial papillae.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	cephalopod coelom	
http://purl.obolibrary.org/obo/CEPH_0000279	water pore	One or two pairs of pores in the integument of the head that communicate with extensive spaces at the bases of arms on some pelagic argonautoid octopods.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	|orifice	web
http://purl.obolibrary.org/obo/CEPH_0000280	web	Muscular membrane that extends between the arms of many octopodiforms but is reduced or absent in most decapodiforms.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	membranous layer	anatomical wall
http://purl.obolibrary.org/obo/CEPH_0000281	web nodule	Muscular rods embedded in the web of some cirrate octopods.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	|anatomical structure	web
http://purl.obolibrary.org/obo/CEPH_0000282	white body	Amorphous organ near the optic lobes that forms white blood cells.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	organ	anatomical system
http://purl.obolibrary.org/obo/CEPH_0000283	wing	(shell) - Lateral limbs of the shell of cirrate octopods	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	anatomical structure|	shell
http://purl.obolibrary.org/obo/CEPH_0000284	leucophore	Reflective cells in the skin of some cephalopods containing numerous refractive granules on stalks that together produce a scattered reflection of ambient light.	http://tolweb.org/notes/?note_id=2646	cell	
http://purl.obolibrary.org/obo/CEPH_0000285	ink			portion of organism substance	multi-cellular organism
http://purl.obolibrary.org/obo/CEPH_0000286	primary oviduct	Female gonoduct. The oviduct conducts eggs from the visceropericardial coelom, that holds the ovary, to the exterior and is often used to store eggs. In some argonautoid octopods eggs are fertilized and undergo either partial (Argonauta ) or complete (Ocythoe) embryonic development within the oviduct.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	oviduct	female reproductive system
http://purl.obolibrary.org/obo/CEPH_0000287	cephalopod ovary			female gonad|	female reproductive system|visceropericardial coelom
http://purl.obolibrary.org/obo/CEPH_0000288	photosensitive vesicle of cephalic cartilage			photosensitive vesicle|	cephalic cartilage
http://purl.obolibrary.org/obo/CEPH_0000289	photosensitive vesicle of stellate ganglion			|photosensitive vesicle	stellate ganglion
http://purl.obolibrary.org/obo/CEPH_0000291	tentacular club	Terminal, usually expanded, grasping portion of tentacle that is armed with suckers or, in some groups, with suckers and hooks.		|circumoral appendage segment	tentacle
http://purl.obolibrary.org/obo/CEPH_0000292	optic nerve bundle	Large nerve bundles that run from the optic lobe to the eye.	http://tolweb.org/accessory/Cephalopoda_Glossary?acc_id=587	anatomical structure	
http://purl.obolibrary.org/obo/CEPH_0000293	lobe of brain			ectoderm-derived structure|	cephalopod brain
http://purl.obolibrary.org/obo/CEPH_0000294	lobe of nervous system			|anatomical structure	nervous system
http://purl.obolibrary.org/obo/CEPH_0000295	buccal lobe			|lobe of brain	supraesophageal mass of brain
http://purl.obolibrary.org/obo/CEPH_0000296	subesophageal mass of brain			anatomical cluster|ectoderm-derived structure|	cephalopod brain
http://purl.obolibrary.org/obo/CEPH_0000297	middle subesophageal mass of brain			anatomical cluster||ectoderm-derived structure	subesophageal mass of brain
http://purl.obolibrary.org/obo/CEPH_0000298	posterior subesophageal mass of brain			anatomical cluster||ectoderm-derived structure	subesophageal mass of brain
http://purl.obolibrary.org/obo/CEPH_0000299	supraesophageal mass of brain			anatomical cluster|ectoderm-derived structure|	cephalopod brain
http://purl.obolibrary.org/obo/CEPH_0000300	cephalopod trait				
http://purl.obolibrary.org/obo/CEPH_0000301	basal lobe of brain	Higher motor centers, located (for example) in the basal lobe (b.l.) control complex behaviors that involve the animal's whole body.		lobe of brain	cephalopod brain
http://purl.obolibrary.org/obo/CEPH_0000302	superior frontal lobe system			ectoderm-derived structure|	cephalopod brain
http://purl.obolibrary.org/obo/CEPH_0000303	vertical frontal lobe system			ectoderm-derived structure|	cephalopod brain
http://purl.obolibrary.org/obo/CEPH_0000304	anal photophore	photophore at side of anus	http://tolweb.org/accessory/Cephalopod_Photophore_Terminology?acc_id=2015	photophore	anatomical system
http://purl.obolibrary.org/obo/CEPH_0000305	collection of suckers			anatomical cluster	multi-cellular organism
http://purl.obolibrary.org/obo/CEPH_0000306	transverse row of suckers			collection of suckers	multi-cellular organism
http://purl.obolibrary.org/obo/CEPH_0000307	circumoral appendage segment			organism subdivision|	circumoral appendage
http://purl.obolibrary.org/obo/CEPH_0000308	circumoral appendage	Any of the numerous arms or tentacles that arise from the head and surround the mouth of a cephalopod		appendage	multi-cellular organism
http://purl.obolibrary.org/obo/CEPH_0000309	cephalopod size			whole organism trait	
http://purl.obolibrary.org/obo/CEPH_0000310	buccal membrane support	longitudinal muscular rod fused with buccal membrane		|muscle organ	buccal crown|musculature
http://purl.obolibrary.org/obo/CEPH_0001001	bullet-shaped mantle	posteriorly blunt rather than broad body (mantle) common in larval cephalopods		whole organism trait	
http://purl.obolibrary.org/obo/CEPH_0001002	extrategumental chromatophore	A larval chromatophore located deep beneather the integument		chromatophore	
http://purl.obolibrary.org/obo/CEPH_0001003	chromatophore field	Collection of chromatophores that produces species-specific patterns in discrete regions		anatomical cluster	multi-cellular organism
http://purl.obolibrary.org/obo/CEPH_0001004	tegumental chromatophore	Chromatophores located in or near surface integument		chromatophore	
http://purl.obolibrary.org/obo/CEPH_0001005	cirrus			surface structure	external covering of organism
http://purl.obolibrary.org/obo/CEPH_0001006	body cirrus	A fleshy protruberance of skin that can be erected as a papilla, usually dorsal to the eyes		cirrus	external covering of organism
http://purl.obolibrary.org/obo/CEPH_0001008	phragmacone	The phragmocone is the chambered portion of the shell of a cephalopod. It is divided by septa into camerae.		organism subdivision|	shell
http://purl.obolibrary.org/obo/CEPH_0001009	corneal membrane	A thin turgid transparent membrane that covers the eyes of myopsid and sepioid cephalopods		membranous layer|	cornea|anatomical wall
http://purl.obolibrary.org/obo/CEPH_0001010	gill length			gill trait	
http://purl.obolibrary.org/obo/CEPH_0001011	Koelicker organ	Minute bristle-like structure that covers the body of planktonic octopod larvae		surface structure|organ	anatomical system|external covering of organism
http://purl.obolibrary.org/obo/CEPH_0001013	lanceola	Expanded portion of gladius vane		organ part|	gladius vane|organ
http://purl.obolibrary.org/obo/CEPH_0001014	macula	Irregular spot capable of expanding or retracting		spot	external covering of organism
http://purl.obolibrary.org/obo/CEPH_0001015	nuchal fold	One of a series of longitudinal folds or pleats of skin in the nuchal region		surface structure	external covering of organism
http://purl.obolibrary.org/obo/CEPH_0001016	ocellus			spot	external covering of organism
http://purl.obolibrary.org/obo/CEPH_0001017	cephalopod sperm receptacle			spermathecum	gonad
http://purl.obolibrary.org/obo/CEPH_0001018	spermatophore pad			cephalopod sperm receptacle	gonad
http://purl.obolibrary.org/obo/CEPH_0001020	inner sucker ring			sucker ring	
http://purl.obolibrary.org/obo/CEPH_0001021	outer sucker ring			sucker ring	
http://purl.obolibrary.org/obo/CEPH_0001022	tail	Posterior extension of gladius and mantle epithelium. Frequently elongate.		organism subdivision	multi-cellular organism
http://purl.obolibrary.org/obo/CEPH_0001023	branchial heart appendage			organ part|	branchial heart
http://purl.obolibrary.org/obo/CEPH_0001024	spot			surface structure	external covering of organism
http://purl.obolibrary.org/obo/CEPH_0001025	dorsal beak			beak	multi-cellular organism
http://purl.obolibrary.org/obo/CEPH_0001026	ventral beak			beak	multi-cellular organism
http://purl.obolibrary.org/obo/CEPH_0001027	septum			anatomical structure	
http://purl.obolibrary.org/obo/CEPH_0001028	arm I			arm	multi-cellular organism
http://purl.obolibrary.org/obo/CEPH_0001029	arm II			arm	multi-cellular organism
http://purl.obolibrary.org/obo/CEPH_0001030	arm III			arm	multi-cellular organism
http://purl.obolibrary.org/obo/CEPH_0001031	external shell			shell	integumental system
http://purl.obolibrary.org/obo/CEPH_0001033	spermatophore groove	A channel or groove running along the length of the hectocotylus		male anatomical structure|reproductive structure|	hectocotylus
http://purl.obolibrary.org/obo/CEPH_0001034	shield			organism subdivision	multi-cellular organism
http://purl.obolibrary.org/obo/CEPH_0001035	dorsal shield	hard calcareous dorsal surface of the cuttlebone		shield	multi-cellular organism
http://purl.obolibrary.org/obo/CEPH_0001036	epirenal body	glandular structures of unknown function which lie on either side of the renal papillae		gland	anatomical system
http://purl.obolibrary.org/obo/CEPH_0001037	renal sac			anatomical structure	
http://purl.obolibrary.org/obo/CEPH_0001038	tooth of sucker ring			|anatomical structure	sucker ring
http://purl.obolibrary.org/obo/CEPH_0001039	umbilicus	the central core of the chambered Nautilus shell, representing the juvenile shell with its initial coils		organism subdivision	multi-cellular organism
http://purl.obolibrary.org/obo/CEPH_0001040	web depth			cephalopod trait	
http://purl.obolibrary.org/obo/CEPH_0001041	beak length			head trait	
http://purl.obolibrary.org/obo/CEPH_0001042	lower rostral length			beak length	
http://purl.obolibrary.org/obo/CEPH_0001043	upper rostral length			beak length	
http://purl.obolibrary.org/obo/CEPH_0001044	spadix organ			|organ	anatomical system|head
http://purl.obolibrary.org/obo/CEPH_0001045	shell chamber	Camerae (singular camera) are the spaces or chambers enclosed between two adjacent septa in the phragmocone of a nautiloid or ammonoid cephalopod. These can be seen in cross-sections of a nautilus shell and in the polished cross-sections of ammonites. In life these chambers are filled with gas, mediated by the siphuncle, and used to control buoyancy.		anatomical structure|	shell
http://purl.obolibrary.org/obo/CEPH_0001046	shell septum			septum|	shell
http://purl.obolibrary.org/obo/CEPH_0001047	orthocone	An orthocone is a usually long straight shell of a nautiloid cephalopod.		external shell	integumental system
http://purl.obolibrary.org/obo/CEPH_0001048	internal shell			shell	integumental system
http://purl.obolibrary.org/obo/CEPH_0001049	shell aperture	An opening in a mollusc shell		anatomical conduit|	shell
http://purl.obolibrary.org/obo/CEPH_0001050	shell apex	the tip of the mollusc shell of a gastropod, scaphopod, or cephalopod mollusc.		anatomical structure	
http://purl.obolibrary.org/obo/CEPH_0001051	funnel component of funnel-mantle locking apparatus			organ part|	funnel-mantle locking-apparatus
http://purl.obolibrary.org/obo/CEPH_0001052	mantle component of funnel-mantle locking apparatus			organ part||	mantle|funnel-mantle locking-apparatus
http://purl.obolibrary.org/obo/CEPH_0001053	spermatophore gland			male reproductive gland	male reproductive system
http://purl.obolibrary.org/obo/CEPH_0001054	Ammonoidea			Cephalopoda	
http://purl.obolibrary.org/obo/CEPH_0001055	Goniatitida			Ammonoidea	
http://purl.obolibrary.org/obo/CEPH_0001056	Ceratitida			Ammonoidea	
http://purl.obolibrary.org/obo/CEPH_0001057	Ammonitida			Ammonoidea	
http://purl.obolibrary.org/obo/CEPH_0001058	reproductive trait			cephalopod trait	
http://purl.obolibrary.org/obo/CEPH_0001059	appendage trait			cephalopod trait	
http://purl.obolibrary.org/obo/CEPH_0001060	habitat trait			cephalopod trait	
http://purl.obolibrary.org/obo/CEPH_0001061	shell trait			cephalopod trait	
http://purl.obolibrary.org/obo/CEPH_0001062	integument trait			cephalopod trait	
http://purl.obolibrary.org/obo/CEPH_0001063	fin trait			cephalopod trait	
http://purl.obolibrary.org/obo/CEPH_0001064	head trait			cephalopod trait	
http://purl.obolibrary.org/obo/CEPH_0001065	whole organism trait			cephalopod trait	
http://purl.obolibrary.org/obo/CEPH_0001066	gill trait			cephalopod trait	
http://purl.obolibrary.org/obo/CEPH_0001067	iteroparous	characterized by multiple reproductive cycles over the course of its lifetime		reproductive trait	
http://purl.obolibrary.org/obo/CEPH_0001068	organ of Hoeven			gland	anatomical system
http://purl.obolibrary.org/obo/CEPH_0001069	pyroform sac			organ	anatomical system
http://purl.obolibrary.org/obo/CEPH_0001070	sexual size dimorphism			sexual dimorphism	
http://purl.obolibrary.org/obo/CEPH_0001071	sexual dimorphism			reproductive trait	
http://purl.obolibrary.org/obo/CL_0000000	cell	A material entity of anatomical origin (part of or deriving from an organism) that has as its parts a maximally connected cell compartment surrounded by a plasma membrane.			
http://purl.obolibrary.org/obo/CL_0000003	native cell	A cell that is found in a natural setting, which includes multicellular organism cells 'in vivo' (i.e. part of an organism), and unicellular organisms 'in environment' (i.e. part of a natural environment).		cell	
http://purl.obolibrary.org/obo/CL_0000147	pigment cell	A pigment cell is a cell that contains pigment granules.		stuff accumulating cell	
http://purl.obolibrary.org/obo/CL_0000325	stuff accumulating cell	A cell that is specialised to accumulate a particular substance(s).		native cell	
http://purl.obolibrary.org/obo/GO_0005575	cellular_component				
http://purl.obolibrary.org/obo/GO_0008150	biological_process	Any process specifically pertinent to the functioning of integrated living units: cells, tissues, organs, and organisms. A process is a collection of molecular events with a defined beginning and end.	GOC:go_curators,GOC:isa_complete	processual entity	
http://purl.obolibrary.org/obo/GO_0008152	metabolic process			biological_process	
http://purl.obolibrary.org/obo/GO_0008218	bioluminescence	The production of light by certain enzyme-catalyzed reactions in cells.	ISBN:0198506732	cellular metabolic process	
http://purl.obolibrary.org/obo/GO_0009314	response to radiation			response to abiotic stimulus	
http://purl.obolibrary.org/obo/GO_0009416	response to light stimulus			response to radiation	
http://purl.obolibrary.org/obo/GO_0009581	detection of external stimulus			response to external stimulus|detection of stimulus	
http://purl.obolibrary.org/obo/GO_0009582	detection of abiotic stimulus			response to abiotic stimulus|detection of stimulus	
http://purl.obolibrary.org/obo/GO_0009583	detection of light stimulus			detection of abiotic stimulus|response to light stimulus|detection of external stimulus	
http://purl.obolibrary.org/obo/GO_0009584	detection of visible light			detection of light stimulus	
http://purl.obolibrary.org/obo/GO_0009605	response to external stimulus			response to stimulus	
http://purl.obolibrary.org/obo/GO_0009628	response to abiotic stimulus			response to stimulus	
http://purl.obolibrary.org/obo/GO_0009987	cellular process			biological_process	
http://purl.obolibrary.org/obo/GO_0016020	membrane			cellular_component	
http://purl.obolibrary.org/obo/GO_0040011	locomotion	Self-propelled movement of a cell or organism from one location to another.	GOC:dgh	biological_process	
http://purl.obolibrary.org/obo/GO_0044237	cellular metabolic process			cellular process|metabolic process	
http://purl.obolibrary.org/obo/GO_0044425	membrane part			cellular_component|	membrane
http://purl.obolibrary.org/obo/GO_0050896	response to stimulus			biological_process	
http://purl.obolibrary.org/obo/GO_0051606	detection of stimulus			response to stimulus	
http://purl.obolibrary.org/obo/GO_0060361	flight	Self-propelled movement of an organism from one location to another through the air, usually by means of active wing movement.	GOC:dph	locomotion	
http://purl.obolibrary.org/obo/NCBITaxon_102655	Octopus sp.			Octopus	
http://purl.obolibrary.org/obo/NCBITaxon_102656	Benthoctopus			Octopodidae	
http://purl.obolibrary.org/obo/NCBITaxon_102657	Benthoctopus sp.			Benthoctopus	
http://purl.obolibrary.org/obo/NCBITaxon_102658	Opisthoteuthidae			Cirrata	
http://purl.obolibrary.org/obo/NCBITaxon_102659	Opisthoteuthis			Opisthoteuthidae	
http://purl.obolibrary.org/obo/NCBITaxon_102660	Opisthoteuthis sp.			Opisthoteuthis	
http://purl.obolibrary.org/obo/NCBITaxon_102865	Bathypolypus sponsalis			Bathypolypus	
http://purl.obolibrary.org/obo/NCBITaxon_102866	Hapalochlaena lunulata			Hapalochlaena	
http://purl.obolibrary.org/obo/NCBITaxon_102867	Octopus aegina			Octopus	
http://purl.obolibrary.org/obo/NCBITaxon_102868	Octopus areolatus			Octopus	
http://purl.obolibrary.org/obo/NCBITaxon_102869	Octopus luteus			Octopus	
http://purl.obolibrary.org/obo/NCBITaxon_102870	Octopus magnificus			Octopus	
http://purl.obolibrary.org/obo/NCBITaxon_102871	Octopus marginatus			Octopus	
http://purl.obolibrary.org/obo/NCBITaxon_102872	Octopus mototi			Octopus	
http://purl.obolibrary.org/obo/NCBITaxon_102873	Octopus ornatus			Octopus	
http://purl.obolibrary.org/obo/NCBITaxon_102874	Octopus pallidus			Octopus	
http://purl.obolibrary.org/obo/NCBITaxon_102875	Octopus tehuelchus			Octopus	
http://purl.obolibrary.org/obo/NCBITaxon_102876	Eledone cirrhosa			Eledone	
http://purl.obolibrary.org/obo/NCBITaxon_102877	Eledone massyae			Eledone	
http://purl.obolibrary.org/obo/NCBITaxon_102878	Eledone palari			Eledone	
http://purl.obolibrary.org/obo/NCBITaxon_102879	Cistopus			Octopodidae	
http://purl.obolibrary.org/obo/NCBITaxon_102880	Cistopus indicus			Cistopus	
http://purl.obolibrary.org/obo/NCBITaxon_102881	Tremoctopodidae			Incirrata	
http://purl.obolibrary.org/obo/NCBITaxon_102882	Tremoctopus			Tremoctopodidae	
http://purl.obolibrary.org/obo/NCBITaxon_102883	Tremoctopus violaceus			Tremoctopus	
http://purl.obolibrary.org/obo/NCBITaxon_106396	Octopus salutii			Octopus	
http://purl.obolibrary.org/obo/NCBITaxon_106397	Bathypolypus sp.			Bathypolypus	
http://purl.obolibrary.org/obo/NCBITaxon_109628	Illex coindetii			Illex	
http://purl.obolibrary.org/obo/NCBITaxon_109629	Todaropsis			Ommastrephidae	
http://purl.obolibrary.org/obo/NCBITaxon_109630	Todaropsis eblanae			Todaropsis	
http://purl.obolibrary.org/obo/NCBITaxon_126370	Vampyroteuthidae			Vampyromorpha	
